title,description,location,features,date,price
COMMINGSOOON 19 FLOOR HIGH RISE BUILDING at Pal tp10 Gaurav path Road.,1st time in Adajan- Pal tp10 Gaurav path Road & 150ft BRTS Bus  root Touch 19th floor Highrise Building CommingSooon.laxureouse Building with Extra Foyer . Maximum Useble Carpet area. More details & Site Visit For Direct Call me Or Visit Our Office - Mr.Viny Tailor 126/Solitaire Quays opp New D Mart Jahangirabad Canal Road Surat.,"India, Gujarat, Surat, Adajan",2 Bds - 2 Ba - 1127 ft2,2021-06-08T03:01:13+0000,"₹ 39,98,000"
3bhk in mangadu near kamachi amman temple,-Resale property 5 year old -500 meter from main road -Walkable from mangadu amman temple. -House sale with Full furnished including furnisher. -Car parking -Negotiable price -Duplex house -30 ft road -Bore water level 50 ft -Cmda approved -5km from kundrathur -6km from porur -1 km from poonamalle -800 m from main road,"India, Tamil Nadu, Chennai, Mangadu",3 Bds - 3 Ba - 2000 ft2,2021-06-08T03:01:12+0000,"₹ 86,00,000"
Independent house,Gated township fully developed area Lal kaun se dadri road pe aaj hi sift ho jaye Bs 1 lac deke baaki loan facility,"India, Uttar Pradesh, Greater Noida, Achheja",1 Bds - 1 Ba - 500 ft2,2021-06-08T03:01:12+0000,"₹ 15,50,000"
70Gaj 2BHK House Sale 50Mtrs From Durga Mandir Banjarawala,70Gaj 2BHK House Sale 50Mtrs From Durga Mandir Banjarawala,"India, Uttaranchal, Dehradun, Banjarawala",2 Bds - 2 Ba - 800 ft2,2021-06-08T03:01:12+0000,"₹ 30,00,000"
Luxirious JDA approved 3 Bhk Duplex at Vidhyadhar Nagar sector-1,"Premium Ultra Luxirious 3 Bhk Duplex on very prime location at VidhyadharNagar, Sector-1, Sikar Road *Jaipur Railway station- 6 km *Sikar road- 1 km *Area- 90 mtr *Complete Vastu friendly *In a good community *Semi furnished with modular kitchen *80%-90% Loanable with govt. subsidy (2.67 lack) *All electrical underground *Best quality electrical fitting & wiring ensure safely & well going *Complete functional bathroom fitted with best quality bath fitments *Parking ensuring safe keep your vehicle *Separate roof right *All common facilities available near by project like School, Market, Hospital available here  For more projects details & visit site please contact *Brokers please don't call...Thanks Selected Homes","India, Rajasthan, Jaipur, Vidhyadhar Nagar",3 Bds - 3 Ba - 2100 ft2,2021-06-08T03:01:12+0000,"₹ 1,00,00,000"
3bhk spacious fully furnished flats in sector near airport road mohali,Call for more information.,"India, Punjab, Mohali, Sector 127",3 Bds - 3 Ba - 1580 ft2,2021-06-02T12:40:50+0000,"₹ 36,90,000"
duplex house for sale on mirakot road amritsar,duplex house for sale on mirakot road amritsar call us on 9417Q36266,"India, Punjab, Amritsar, Mirankot Rd",3 Bds - 3 Ba - 1350 ft2,2021-05-11T05:46:39+0000,"₹ 29,30,000"
Great opportunity to buy  3 BHK Flats with 3 Balconies Vasna Bhayli Ro,"Great opportunity to buy  3 BHK Flats with 3 Balconies Vasna Bhayli Road Build up Area: 1192 sq.ft. ""Please call for more details""","India, Gujarat, Vadodara, Old Padra Road",3 Bds - 3 Ba - 00 ft2,2021-05-26T05:14:47+0000,"₹ 39,99,054"
"! LARGE 1 BHK FLAT AT GOODWILL BREEZZA, DHANORI AT 36 LACS ONLY.700 SQ","! LARGE 1 BHK FLAT AT GOODWILL BREEZZA, DHANORI AT 35 LACS ONLY.700 SQFT.  MOST PRIME LOCATION OF DHANORI  MOST REPUTED BUILDER  WITH ALL AMMENITIES  1 BHK AT 36 LACS  CALL IMMEDIATELY !","India, Maharashtra, Pune, Tingre Nagar",1 Bds - 1 Ba - 700 ft2,2021-06-08T03:01:11+0000,"₹ 36,00,000"
Plot for sale,"This plot is in trivandrum corperation. ie in monvila near Technopark area attipra village,kulathoor post,Trivandrum.House can  be reconstructed or can be build new. One well, electrified etc, only plot value is demanding. Jappan water connection is near. Street light etc. 4 cent. 3 metre road side which is interlocked.","India, Kerala, Thiruvananthapuram, Kazhakoottam",2 Bds - 1 Ba - 500 ft2,2021-05-11T13:29:22+0000,"₹ 21,00,000"
